# Species	Genes	Alg.-Conn.	Arkhipov1_protein.faa	Arkhipov2_protein.faa	Arkhipov3_protein.faa	Arkhipov4_protein.faa	Arkhipov5_protein.faa
4	4	0.143	*	XP_013437833.1	XP_013251095.1	XP_013333159.1	XP_013352494.1
4	4	0.344	CDI87633.1	XP_013433670.1	XP_013246900.1	*	XP_037878569.1
4	4	0.402	*	XP_013433994.1	XP_013247506.1	XP_013336609.1	XP_013351049.1
4	4	0.283	*	XP_013434041.1	XP_013249306.1	XP_013338416.1	XP_013349732.1
4	4	0.196	*	XP_013434105.1	XP_013247803.1	XP_013335652.1	XP_013355279.1
4	4	0.296	*	XP_013434168.1	XP_013247153.1	XP_013338582.1	XP_013354056.1
3	4	0.386	*	XP_013434349.1	*	XP_013335698.1	XP_013358087.1,XP_013358110.1
4	4	0.283	*	XP_013433133.1	XP_013249785.1	XP_013337681.1	XP_013356448.1
4	4	0.341	*	XP_013434363.1	XP_013246888.1	XP_013334390.1	XP_013350705.1
4	4	0.27	*	XP_013434543.1	XP_013251329.1	XP_013336081.1	XP_013353659.1
4	4	0.299	*	XP_013437332.1	XP_013247871.1	XP_013332781.1	XP_013351360.1
4	4	0.384	*	XP_013434730.1	XP_013248701.1	XP_013333325.1	XP_013355776.1
4	4	0.298	*	XP_013434877.1	XP_013252507.1	XP_013334154.1	XP_013352788.1
4	4	0.267	*	XP_013435109.1	XP_013250661.1	XP_013335348.1	XP_013353378.1
4	4	0.411	*	XP_013436031.1	XP_013252795.1	XP_013338080.1	XP_013355977.1
4	4	0.21	*	XP_013436192.1	XP_013247327.1	XP_013334550.1	XP_013349721.1
4	4	0.307	*	XP_013436279.1	XP_013252509.1	XP_013338504.1	XP_013353467.1
4	4	0.361	*	XP_013436520.1	XP_013250431.1	XP_013333902.1	XP_037878582.1
4	4	0.343	*	XP_013436551.1	XP_013251656.1	XP_013338341.1	XP_013356402.1
4	4	0.397	CDI87104.1	*	XP_013250043.1	XP_013333453.1	XP_013355400.1
4	4	0.157	CDI79466.1	*	XP_013248505.1	XP_013332726.1	XP_037878888.1
4	4	0.287	*	XP_013437628.1	XP_013249721.1	XP_013332724.1	XP_013353166.1
4	4	0.3	*	XP_013434492.1	XP_013248439.1	XP_013332649.1	XP_013356956.1
4	4	0.16	CDI86367.1	XP_013436359.1	XP_013252940.1	*	XP_013350292.1
4	4	0.44	*	XP_013440916.1	XP_013251877.1	XP_013334366.1	XP_013352353.1
4	4	0.113	*	XP_013440579.1	XP_013247168.1	XP_013338603.1	XP_013357668.1
4	4	0.26	CDI86671.1	XP_013438819.1	*	XP_013338127.1	XP_013355333.1
4	4	0.154	*	XP_013440505.1	XP_013249637.1	XP_013337385.1	XP_013350260.1
4	4	0.272	*	XP_013440494.1	XP_013246837.1	XP_013337564.1	XP_037879001.1
4	4	0.38	CDI86855.1	*	XP_013246682.1	XP_013335746.1	XP_037878658.1
4	4	0.313	CDI86878.1	XP_013439695.1	XP_013250108.1	*	XP_013352802.1
4	4	0.299	*	XP_013440304.1	XP_013249936.1	XP_013333874.1	XP_013350657.1
4	4	0.379	*	XP_013437104.1	XP_013247281.1	XP_013332854.1	XP_013357578.1
4	4	0.365	*	XP_013439517.1	XP_013247639.1	XP_013332684.1	XP_013351853.1
4	4	0.239	*	XP_013439305.1	XP_013247052.1	XP_013334146.1	XP_013351735.1
4	4	0.305	*	XP_013439199.1	XP_013247953.1	XP_013334764.1	XP_013349427.1
4	4	0.137	CDI87411.1	XP_013434248.1	*	XP_013338458.1	XP_013352300.1
4	4	0.374	*	XP_013436566.1	XP_013248725.1	XP_013332974.1	XP_013354696.1
3	4	0.439	CDI87742.1	*	*	XP_013337460.1	XP_013357602.1,XP_037878745.1
4	4	0.183	CDI74977.1	XP_013438620.1	*	XP_013334262.1	XP_013351971.1
4	4	0.229	*	XP_013438163.1	XP_013251981.1	XP_013335525.1	XP_013350202.1
4	4	0.344	*	XP_013432661.1	XP_013249182.1	XP_013336360.1	XP_013350281.1
4	4	0.384	*	XP_013438049.1	XP_013249711.1	XP_013336407.1	XP_013350675.1
4	4	0.183	*	XP_013432911.1	XP_013251971.1	XP_013338011.1	XP_013355280.1
4	4	0.214	CDI87549.1	*	XP_013252413.1	XP_013336765.1	XP_013351217.1
4	4	0.347	CDI85596.1	XP_013438345.1	XP_013253178.1	XP_013333268.1	*
4	4	0.219	CDI85355.1	XP_013433141.1	XP_013246999.1	XP_013338276.1	*
4	4	0.305	CDI73715.1	*	XP_013253143.1	XP_013334845.1	XP_013355691.1
4	4	0.333	CDI87288.1	XP_013433599.1	XP_013250363.1	XP_013337501.1	*
4	4	0.278	CDI80709.1	*	XP_013252404.1	XP_013338606.1	XP_013355319.1
4	4	0.372	*	XP_013440261.1	XP_013252776.1	XP_013338589.1	XP_013351465.1
4	4	0.313	CDI79453.1	XP_013437731.1	XP_013251955.1	XP_013335522.1	*
4	4	0.243	CDI74841.1	*	XP_013250631.1	XP_013337129.1	XP_037877892.1
4	4	0.243	*	XP_013437428.1	XP_013251433.1	XP_013334801.1	XP_013350663.1
4	4	0.435	CDI74839.1	XP_013437804.1	*	XP_013337126.1	XP_037877889.1
4	4	0.129	CDI73747.1	XP_013439349.1	XP_013252205.1	XP_013338415.1	*
4	4	0.182	CDI73850.1	XP_013438184.1	XP_013250937.1	XP_013334395.1	*
4	4	0.234	CDI74069.1	XP_013433011.1	XP_013250611.1	XP_013333202.1	*
4	4	0.353	CDI87891.1	XP_013441047.1	XP_013249885.1	XP_013337768.1	*
4	4	0.288	CDI82730.1	XP_013440439.1	XP_013250149.1	XP_013336473.1	*
4	4	0.227	CDI74587.1	XP_013434767.1	XP_013247014.1	*	XP_013355914.1
4	4	0.26	CDI83848.1	XP_013440657.1	*	XP_013334186.1	XP_013355060.1
4	4	0.163	CDI74559.1	XP_013434990.1	XP_013249280.1	XP_013334231.1	*
4	4	0.434	CDI74591.1	XP_013433821.1	XP_013247269.1	XP_013337743.1	*
4	4	0.286	CDI87440.1	XP_013436603.1	XP_013246658.1	XP_013333974.1	*
4	4	0.267	*	XP_013440393.1	XP_013248533.1	XP_013336981.1	XP_013353944.1
4	4	0.238	CDI86204.1	*	XP_013250087.1	XP_013334547.1	XP_013354527.1
4	4	0.23	CDI87416.1	*	XP_013252131.1	XP_013338455.1	XP_013349992.1
4	4	0.373	CDI74408.1	XP_013439624.1	XP_013246496.1	*	XP_013350647.1
4	4	0.186	CDI75195.1	XP_013440373.1	XP_013248285.1	XP_013337818.1	*
4	4	0.255	CDI86413.1	*	XP_013251886.1	XP_013334343.1	XP_013350795.1
4	4	0.426	CDI86908.1	XP_013432698.1	XP_013250771.1	XP_013338584.1	*
4	4	0.34	*	XP_013434566.1	XP_013252848.1	XP_013334275.1	XP_013349675.1
4	4	0.287	*	XP_013439640.1	XP_013250572.1	XP_013336382.1	XP_013353149.1
4	4	0.382	CDI75862.1	XP_013438543.1	XP_013248313.1	*	XP_013353266.1
4	4	0.218	CDI75984.1	XP_013439460.1	XP_013248854.1	XP_013334525.1	*
4	4	0.0951	*	XP_013439250.1	XP_013253222.1	XP_013336072.1	XP_013349776.1
4	4	0.289	CDI80591.1	XP_013440088.1	XP_013252544.1	XP_013333827.1	*
4	4	0.337	*	XP_013440137.1	XP_013249263.1	XP_013335964.1	XP_013350780.1
4	4	0.35	*	XP_013432516.1	XP_013247471.1	XP_013335945.1	XP_013358070.1
4	4	0.155	CDI86847.1	XP_013435011.1	XP_013248801.1	XP_013337903.1	*
4	4	0.224	CDI84583.1	XP_013438487.1	XP_013249159.1	XP_013334945.1	*
4	4	0.353	CDI84900.1	XP_013433298.1	XP_013251010.1	*	XP_013354430.1
4	4	0.297	CDI74041.1	XP_013436654.1	XP_013248637.1	XP_013333755.1	*
4	4	0.353	*	XP_013438533.1	XP_013250419.1	XP_013335557.1	XP_013356038.1
4	4	0.266	CDI87530.1	XP_013437960.1	XP_013249445.1	XP_013332890.1	*
4	4	0.291	*	XP_013437315.1	XP_013252434.1	XP_013335550.1	XP_013352297.1
4	4	0.318	*	XP_013437346.1	XP_013250339.1	XP_013336367.1	XP_013355375.1
4	4	0.143	CDI84950.1	XP_013433900.1	XP_013251363.1	XP_013335449.1	*
4	4	0.186	CDI76967.1	XP_013436734.1	XP_013249495.1	*	XP_013352408.1
4	4	0.373	CDI77423.1	XP_013432529.1	*	XP_013332675.1	XP_013352054.1
4	4	0.343	*	XP_013441030.1	XP_013249715.1	XP_013336412.1	XP_013355116.1
4	4	0.207	CDI74174.1	XP_013440585.1	XP_013247411.1	XP_013335122.1	*
4	4	0.369	CDI85224.1	*	XP_013248440.1	XP_013335287.1	XP_013356957.1
3	4	0.475	*	*	XP_013249614.1	XP_013336418.1	XP_013354434.1,XP_013357959.1
4	4	0.365	CDI78033.1	*	XP_013247579.1	XP_013337397.1	XP_013350531.1
4	4	0.279	CDI74122.1	XP_013440778.1	XP_013247197.1	XP_013333485.1	*
4	4	0.305	CDI86952.1	XP_013435142.1	XP_013247129.1	XP_013336307.1	*
3	4	0.471	CDI73658.1,CDI73661.1	*	XP_013253080.1	XP_013338598.1	*
4	4	0.298	CDI85633.1	*	XP_013253208.1	XP_013336541.1	XP_037877875.1
4	4	0.223	CDI87645.1	XP_013435863.1	XP_013250066.1	XP_013336476.1	*
4	4	0.468	CDI85220.1	XP_013434813.1	*	XP_013335282.1	XP_013356963.1
4	4	0.295	CDI74200.1	XP_013434637.1	XP_013251165.1	XP_013334318.1	*
4	4	0.147	CDI85256.1	XP_013436374.1	XP_013250816.1	XP_013336971.1	*
4	4	0.395	CDI85732.1	XP_013440743.1	XP_013253050.1	*	XP_013354670.1
4	4	0.303	*	XP_013434631.1	XP_013252989.1	XP_013333918.1	XP_013354728.1
4	4	0.149	*	XP_013436894.1	XP_013251699.1	XP_013338047.1	XP_013353992.1
4	4	0.358	*	XP_013438889.1	XP_013253266.1	XP_013333802.1	XP_013352121.1
4	4	0.289	CDI86320.1	XP_013439720.1	XP_013250266.1	XP_013333087.1	*
4	4	0.291	*	XP_013440414.1	XP_013252292.1	XP_013338044.1	XP_013350341.1
4	4	0.218	CDI86143.1	XP_013433349.1	XP_013251300.1	XP_013335001.1	*
4	4	0.287	CDI86126.1	XP_013433207.1	XP_013251651.1	XP_013334075.1	*
4	4	0.282	CDI87123.1	XP_013437324.1	XP_013251614.1	XP_013338086.1	*
4	4	0.332	CDI81394.1	XP_013435642.1	XP_013250802.1	XP_013338397.1	*
4	4	0.438	*	XP_013436932.1	XP_013249609.1	XP_013333634.1	XP_013352998.1
4	4	0.235	CDI73842.1	*	XP_013249519.1	XP_013334197.1	XP_013351818.1
4	4	0.294	*	XP_013440558.1	XP_013252171.1	XP_013337523.1	XP_013356389.1
4	4	0.312	*	XP_013439692.1	XP_013248946.1	XP_013333583.1	XP_013352861.1
4	4	0.329	*	XP_013439140.1	XP_013248918.1	XP_013337040.1	XP_013350599.1
4	4	0.0558	CDI84730.1	XP_013433595.1	XP_013251566.1	XP_013334672.1	*
4	4	0.243	CDI75005.1	*	XP_013250062.1	XP_013333476.1	XP_013355054.1
4	4	0.375	CDI75196.1	*	XP_013248287.1	XP_013337819.1	XP_037878379.1
4	4	0.194	CDI82804.1	*	XP_013252935.1	XP_013333444.1	XP_013350286.1
4	4	0.332	CDI85428.1	*	XP_013252933.1	XP_013333442.1	XP_013349801.1
4	4	0.188	CDI82484.1	XP_013437607.1	XP_013251224.1	XP_013338237.1	*
4	4	0.34	CDI82662.1	XP_013432582.1	XP_013249604.1	XP_013336207.1	*
4	4	0.281	CDI85366.1	XP_013435784.1	XP_013247183.1	XP_013336880.1	*
4	4	0.347	CDI85305.1	XP_013434868.1	XP_013253257.1	XP_013335009.1	*
4	4	0.305	CDI84046.1	XP_013436129.1	XP_013250305.1	XP_013334661.1	*
4	4	0.154	CDI85982.1	XP_013438196.1	XP_013249662.1	*	XP_013350925.1
4	4	0.388	CDI84296.1	XP_013435004.1	XP_013248808.1	XP_013337801.1	*
4	4	0.289	CDI87065.1	*	XP_013250143.1	XP_013337741.1	XP_013350664.1
4	4	0.186	CDI74193.1	*	XP_013250192.1	XP_013333225.1	XP_013353152.1
4	4	0.245	CDI73965.1	*	XP_013248151.1	XP_013334721.1	XP_013358094.1
4	4	0.339	CDI74228.1	*	XP_013251104.1	XP_013334220.1	XP_013349790.1
4	4	0.227	CDI75242.1	XP_013433346.1	XP_013248213.1	XP_013332679.1	*
4	4	0.429	CDI75277.1	XP_013434050.1	XP_013250742.1	XP_013337719.1	*
4	4	0.402	CDI87240.1	XP_013436993.1	XP_013247785.1	XP_013332842.1	*
4	4	0.333	*	XP_013440315.1	XP_013251022.1	XP_013337098.1	XP_013350294.1
4	4	0.159	CDI75448.1	XP_013436669.1	XP_013252770.1	XP_013332786.1	*
4	4	0.257	*	XP_013440480.1	XP_013249387.1	XP_013334116.1	XP_013351605.1
4	4	0.28	CDI74179.1	XP_013437486.1	XP_013247900.1	*	XP_013356143.1
4	4	0.374	CDI85682.1	XP_013440103.1	*	XP_013332991.1	XP_013351663.1
4	4	0.124	*	XP_013436954.1	XP_013250536.1	XP_013334025.1	XP_013352848.1
4	4	0.244	CDI75532.1	XP_013434935.1	XP_013250791.1	XP_013333945.1	*
4	4	0.292	CDI75690.1	XP_013437609.1	XP_013251228.1	XP_013335924.1	*
4	4	0.178	CDI85769.1	*	XP_013250534.1	XP_013334023.1	XP_013352199.1
4	4	0.305	*	XP_013439851.1	XP_013248897.1	XP_013337146.1	XP_013354355.1
4	4	0.392	CDI85723.1	*	XP_013253043.1	XP_013337069.1	XP_013354663.1
5	6	0.344	CDI86200.1	XP_013439219.1	XP_013249365.1,XP_013247968.1	XP_013338354.1	XP_013356995.1
4	6	0.608	*	XP_013434250.1	XP_013249820.1,XP_013252839.1	XP_013333171.1,XP_013337891.1	XP_013354946.1
5	5	0.293	CDI76829.1	XP_013433047.1	XP_013249009.1	XP_013334612.1	XP_013352449.1
5	5	0.329	CDI76945.1	XP_013435510.1	XP_013250565.1	XP_013337682.1	XP_037878187.1
5	5	0.302	CDI80238.1	XP_013434906.1	XP_013249619.1	XP_013336423.1	XP_013350450.1
5	5	0.237	CDI87043.1	XP_013438134.1	XP_013246690.1	XP_013337222.1	XP_013355064.1
5	5	0.384	CDI86965.1	XP_013438145.1	XP_013247747.1	XP_013334519.1	XP_013356383.1
5	5	0.285	CDI84750.1	XP_013439463.1	XP_013252281.1	XP_013335509.1	XP_013355599.1
5	5	0.402	CDI81350.1	XP_013435951.1	XP_013252255.1	XP_013335031.1	XP_013353352.1
5	5	0.406	CDI76096.1	XP_013435856.1	XP_013249309.1	XP_013337727.1	XP_013351143.1
5	5	0.252	CDI86969.1	XP_013433416.1	XP_013252400.1	XP_013333668.1	XP_013356654.1
5	5	0.185	CDI86763.1	XP_013433464.1	XP_013247881.1	XP_013332627.1	XP_013354578.1
5	5	0.34	CDI80356.1	XP_013437736.1	XP_013247452.1	XP_013333947.1	XP_013350144.1
5	5	0.234	CDI86971.1	XP_013435400.1	XP_013248947.1	XP_013335777.1	XP_013357908.1
5	5	0.274	CDI80902.1	XP_013436446.1	XP_013249260.1	XP_013338495.1	XP_013354616.1
5	5	0.355	CDI87605.1	XP_013436487.1	XP_013247932.1	XP_013338090.1	XP_013356200.1
5	5	0.307	CDI86776.1	XP_013440025.1	XP_013253345.1	XP_013334417.1	XP_037878257.1
5	5	0.377	CDI79541.1	XP_013437922.1	XP_013251410.1	XP_013333888.1	XP_013352036.1
5	5	0.343	CDI84295.1	XP_013435003.1	XP_013248809.1	XP_013337802.1	XP_013357062.1
5	5	0.357	CDI81750.1	XP_013440167.1	XP_013248757.1	XP_013336705.1	XP_037878151.1
5	5	0.402	CDI86038.1	XP_013438856.1	XP_013251504.1	XP_013336686.1	XP_013352213.1
5	5	0.237	CDI87617.1	XP_013440398.1	XP_013252429.1	XP_013333642.1	XP_037878970.1
5	5	0.544	CDI87051.1	XP_013437080.1	XP_013246765.1	XP_013337299.1	XP_013353736.1
4	5	0.354	*	XP_013439956.1	XP_013250151.1	XP_013333928.1	XP_013356082.1,XP_013356431.1
5	5	0.261	CDI87234.1	XP_013438926.1	XP_013251690.1	XP_013334987.1	XP_013354805.1
5	5	0.29	CDI84393.1	XP_013437841.1	XP_013249901.1	XP_013332802.1	XP_013350035.1
5	5	0.41	CDI78665.1	XP_013437759.1	XP_013249389.1	XP_013335678.1	XP_013357314.1
5	5	0.175	CDI77457.1	XP_013439474.1	XP_013248912.1	XP_013337444.1	XP_013350250.1
5	5	0.397	CDI87412.1	XP_013434246.1	XP_013252133.1	XP_013338457.1	XP_013352299.1
5	5	0.189	CDI77445.1	XP_013439776.1	XP_013249835.1	XP_013337183.1	XP_037878326.1
5	5	0.177	CDI83757.1	XP_013433067.1	XP_013251264.1	XP_013337704.1	XP_037878444.1
5	5	0.401	CDI86940.1	XP_013437109.1	XP_013249910.1	XP_013334012.1	XP_013355484.1
5	5	0.2	CDI86858.1	XP_013438902.1	XP_013246679.1	XP_013335749.1	XP_037878073.1
5	5	0.365	CDI87492.1	XP_013432857.1	XP_013251453.1	XP_013333349.1	XP_013355543.1
5	5	0.171	CDI84590.1	XP_013432514.1	XP_013247313.1	XP_013336257.1	XP_013357000.1
5	5	0.317	CDI84299.1	XP_013435008.1	XP_013248805.1	XP_013337798.1	XP_013357059.1
5	5	0.252	CDI77154.1	XP_013439673.1	XP_013249070.1	XP_013336808.1	XP_037878952.1
5	5	0.435	CDI86933.1	XP_013433091.1	XP_013252656.1	XP_013336623.1	XP_013354077.1
5	5	0.339	CDI84630.1	XP_013433852.1	XP_013253034.1	XP_013333671.1	XP_013355245.1
5	5	0.2	CDI80802.1	XP_013437065.1	XP_013249288.1	XP_013335664.1	XP_013356848.1
5	5	0.341	CDI86953.1	XP_013435143.1	XP_013247128.1	XP_013336306.1	XP_037878541.1
5	5	0.316	CDI86996.1	XP_013434257.1	XP_013249130.1	XP_013333032.1	XP_013357159.1
5	5	0.218	CDI87483.1	XP_013434576.1	XP_013250505.1	XP_013335674.1	XP_037878493.1
5	5	0.356	CDI85450.1	XP_013438931.1	XP_013250353.1	XP_013334357.1	XP_037878738.1
5	5	0.314	CDI74308.1	XP_013437366.1	XP_013249439.1	XP_013338224.1	XP_013352129.1
5	5	0.494	CDI86274.1	XP_013438100.1	XP_013250220.1	XP_013336031.1	XP_037878137.1
5	5	0.304	CDI74323.1	XP_013440426.1	XP_013246591.1	XP_013335215.1	XP_013351855.1
5	5	0.407	CDI85590.1	XP_013439785.1	XP_013249849.1	XP_013335824.1	XP_013350672.1
5	5	0.346	CDI74381.1	XP_013440479.1	XP_013247344.1	XP_013333050.1	XP_013355110.1
5	5	0.389	CDI74063.1	XP_013434146.1	XP_013247397.1	XP_013333447.1	XP_013355790.1
5	5	0.435	CDI74412.1	XP_013438823.1	XP_013248569.1	XP_013337330.1	XP_013356986.1
5	5	0.309	CDI74466.1	XP_013434973.1	XP_013252628.1	XP_013337807.1	XP_037878563.1
5	5	0.357	CDI85664.1	XP_013439153.1	XP_013248934.1	XP_013335246.1	XP_037878645.1
4	5	0.405	*	XP_013437705.1	XP_013252184.1	XP_013334833.1	XP_013349963.1,XP_037877971.1
5	5	0.171	CDI87426.1	XP_013433865.1	XP_013250598.1	XP_013333001.1	XP_013351695.1
5	5	0.317	CDI74558.1	XP_013437932.1	XP_013249279.1	XP_013334232.1	XP_037878913.1
5	5	0.256	CDI87825.1	XP_013433456.1	XP_013253227.1	XP_013336950.1	XP_013350417.1
4	5	0.582	*	XP_013433375.1	XP_013248140.1	XP_013338125.1	XP_013351201.1,XP_013356042.1
5	5	0.235	CDI86449.1	XP_013434074.1	XP_013247046.1	XP_013335442.1	XP_013354920.1
5	5	0.314	CDI75362.1	XP_013440930.1	XP_013253172.1	XP_013337655.1	XP_013353443.1
5	5	0.319	CDI86472.1	XP_013439796.1	XP_013248870.1	XP_013333847.1	XP_037878403.1
5	5	0.289	CDI73924.1	XP_013439415.1	XP_013251779.1	XP_013336177.1	XP_037878470.1
5	5	0.243	CDI82023.1	XP_013436506.1	XP_013251208.1	XP_013337083.1	XP_013350976.1
5	5	0.158	CDI74163.1	XP_013436580.1	XP_013250134.1	XP_013335314.1	XP_013352038.1
5	5	0.223	CDI74818.1	XP_013436117.1	XP_013250884.1	XP_013337441.1	XP_013356088.1
5	5	0.394	CDI81781.1	XP_013436040.1	XP_013252783.1	XP_013337467.1	XP_037879192.1
5	5	0.38	CDI87819.1	XP_013436030.1	XP_013252802.1	XP_013338266.1	XP_013355971.1
5	5	0.192	CDI74105.1	XP_013435929.1	XP_013249737.1	XP_013334066.1	XP_013358115.1
5	5	0.304	CDI73890.1	XP_013441058.1	XP_013252862.1	XP_013336313.1	XP_013350932.1
5	5	0.39	CDI73923.1	XP_013439416.1	XP_013251780.1	XP_013336176.1	XP_037878202.1
5	5	0.13	CDI84795.1	XP_013439061.1	XP_013247723.1	XP_013334199.1	XP_013350028.1
5	5	0.37	CDI85753.1	XP_013433213.1	XP_013247937.1	XP_013335107.1	XP_013349649.1
5	5	0.286	CDI83885.1	XP_013436938.1	XP_013251359.1	XP_013336001.1	XP_013352065.1
5	5	0.411	CDI86335.1	XP_013435353.1	XP_013251845.1	XP_013336735.1	XP_013353269.1
5	5	0.405	CDI73947.1	XP_013438662.1	XP_013252366.1	XP_013335170.1	XP_037878895.1
5	5	0.203	CDI85503.1	XP_013437085.1	XP_013251338.1	XP_013335799.1	XP_013350063.1
5	5	0.214	CDI74048.1	XP_013435329.1	XP_013248351.1	XP_013337272.1	XP_013349714.1
5	5	0.401	CDI85707.1	XP_013433305.1	XP_013250903.1	XP_013338024.1	XP_013351099.1
5	5	0.48	CDI74109.1	XP_013439257.1	XP_013253219.1	XP_013335074.1	XP_013355250.1
5	5	0.315	CDI75483.1	XP_013432789.1	XP_013251745.1	XP_013336998.1	XP_037878226.1
5	5	0.216	CDI86597.1	XP_013438119.1	XP_013251799.1	XP_013337881.1	XP_037878233.1
5	5	0.352	CDI75329.1	XP_013433381.1	XP_013248145.1	XP_013338219.1	XP_013353495.1
5	5	0.426	CDI75374.1	XP_013436981.1	XP_013247123.1	XP_013336535.1	XP_013354440.1
5	5	0.143	CDI86396.1	XP_013438486.1	XP_013249158.1	XP_013334944.1	XP_013350898.1
4	5	0.574	CDI75412.1	*	XP_013248953.1	XP_013337014.1	XP_013356005.1,XP_037878667.1
5	5	0.396	CDI85064.1	XP_013437696.1	XP_013252605.1	XP_013334827.1	XP_013357476.1
5	5	0.427	CDI75417.1	XP_013436859.1	XP_013246928.1	XP_013337661.1	XP_013350962.1
5	5	0.47	CDI84995.1	XP_013436540.1	XP_013248471.1	XP_013333232.1	XP_037878184.1
5	5	0.329	CDI86474.1	XP_013439794.1	XP_013248867.1	XP_013333844.1	XP_037878401.1
5	5	0.392	CDI75521.1	XP_013433051.1	XP_013248050.1	XP_013336889.1	XP_013350407.1
5	5	0.275	CDI75528.1	XP_013432779.1	XP_013252580.1	XP_013333495.1	XP_013350824.1
5	5	0.37	CDI84973.1	XP_013437938.1	XP_013249471.1	XP_013333718.1	XP_037878454.1
5	5	0.346	CDI75660.1	XP_013440050.1	XP_013248132.1	XP_013333308.1	XP_013350517.1
5	5	0.311	CDI87713.1	XP_013432539.1	XP_013252265.1	XP_013337268.1	XP_013351567.1
5	5	0.224	CDI86685.1	XP_013434288.1	XP_013246953.1	XP_013336963.1	XP_013356815.1
5	5	0.204	CDI84883.1	XP_013437172.1	XP_013251084.1	XP_013333305.1	XP_013352436.1
5	5	0.248	CDI87280.1	XP_013438853.1	XP_013251496.1	XP_013337559.1	XP_013350242.1
5	5	0.226	CDI75273.1	XP_013440406.1	XP_013247562.1	XP_013336266.1	XP_037878130.1
5	5	0.324	CDI86473.1	XP_013439795.1	XP_013248869.1	XP_013333845.1	XP_037878402.1
5	5	0.182	CDI74487.1	XP_013438018.1	XP_013252298.1	XP_013334776.1	XP_013350974.1
5	5	0.408	CDI74871.1	XP_013438305.1	XP_013252454.1	XP_013333519.1	XP_013352770.1
5	5	0.514	CDI74876.1	XP_013438311.1	XP_013252458.1	XP_013333515.1	XP_013352767.1
5	5	0.347	CDI85261.1	XP_013440493.1	XP_013249991.1	XP_013337566.1	XP_013357362.1
5	5	0.191	CDI74960.1	XP_013432503.1	XP_013246631.1	XP_013333531.1	XP_037878339.1
5	5	0.364	CDI85221.1	XP_013434812.1	XP_013247362.1	XP_013335283.1	XP_013356962.1
5	5	0.404	CDI74962.1	XP_013436351.1	XP_013246633.1	XP_013333533.1	XP_037878337.1
4	5	0.544	*	XP_013438116.1	XP_013251802.1	XP_013337051.1	XP_013354858.1,XP_037878842.1
5	5	0.413	CDI75017.1	XP_013437074.1	XP_013246772.1	XP_013333500.1	XP_013355589.1
5	5	0.331	CDI75029.1	XP_013433728.1	XP_013249500.1	XP_013334048.1	XP_013353732.1
5	5	0.291	CDI86559.1	XP_013435290.1	XP_013247859.1	XP_013338316.1	XP_013354219.1
5	5	0.478	CDI85125.1	XP_013436466.1	XP_013252981.1	XP_013333922.1	XP_013355788.1
5	5	0.392	CDI75083.1	XP_013435828.1	XP_013251287.1	XP_013336088.1	XP_013352781.1
5	5	0.365	CDI75199.1	XP_013440377.1	XP_013248290.1	XP_013337822.1	XP_013354869.1
5	5	0.321	CDI75274.1	XP_013440405.1	XP_013247563.1	XP_013336267.1	XP_037878129.1
5	6	0.595	CDI74470.1	XP_013435797.1	XP_013247297.1	XP_013337956.1	XP_013354298.1,XP_013354958.1
5	6	0.659	CDI73807.1	XP_013438939.1	XP_013246983.1	XP_013336762.1	XP_013351116.1,XP_037878286.1
5	6	0.568	CDI86042.1	XP_013438869.1	XP_013251499.1	XP_013336579.1	XP_037878479.1,XP_037878941.1
5	6	0.581	CDI84605.1	XP_013435626.1	XP_013251522.1	XP_013337384.1	XP_013352725.1,XP_013357838.1
5	6	0.579	CDI86044.1	XP_013438871.1	XP_013251497.1	XP_013337560.1	XP_013353661.1,XP_013353972.1
4	4	0.602	CDI87319.1	XP_013432695.1	XP_013247381.1	XP_013337093.1	*
4	4	0.775	CDI87402.1	XP_013434239.1	XP_013252140.1	XP_013338461.1	*
3	3	0.467	CDI87391.1	XP_013438655.1	XP_013247026.1	*	*
3	3	0.606	CDI87390.1	XP_013440470.1	XP_013249578.1	*	*
3	3	0.947	*	XP_013438251.1	XP_013250173.1	XP_013333167.1	*
3	3	0.465	*	XP_013433046.1	XP_013249007.1	XP_013334613.1	*
4	4	0.879	CDI87379.1	XP_013432883.1	XP_013249758.1	XP_013335629.1	*
4	4	0.748	CDI87330.1	XP_013434670.1	XP_013252005.1	XP_013337472.1	*
4	4	0.829	CDI87323.1	XP_013432691.1	XP_013247377.1	XP_013337980.1	*
3	3	0.876	*	XP_013435638.1	XP_013248737.1	XP_013333170.1	*
3	3	0.759	*	XP_013437873.1	XP_013249931.1	XP_013333153.1	*
3	3	0.48	*	XP_013436664.1	XP_013246919.1	XP_013332739.1	*
3	3	0.789	*	XP_013441019.1	XP_013247329.1	XP_013332743.1	*
3	3	0.823	*	XP_013438037.1	XP_013253004.1	XP_013332747.1	*
2	2	1	CDI87310.1	XP_013434852.1	*	*	*
3	3	0.375	*	XP_013436460.1	XP_013252342.1	XP_013333147.1	*
3	3	0.752	*	XP_013436648.1	XP_013248662.1	XP_013332734.1	*
3	3	0.779	*	XP_013440709.1	XP_013252350.1	XP_013333192.1	*
4	4	0.784	CDI87418.1	XP_013435368.1	XP_013247395.1	XP_013335037.1	*
4	4	0.95	CDI87420.1	XP_013435373.1	XP_013247548.1	XP_013335041.1	*
4	4	0.417	CDI87425.1	XP_013433864.1	XP_013250597.1	XP_013333002.1	*
